,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
60,gll8WsZITvA,solo travel vlog: Taking Myself on Dates | GRWM Shower Routine + Chicago Food Diaries | Janika Bates,Janika Bates,16500,1741,126,22
61,Ej1tTZCdYy4,Chicago - What You Need to Know Before Going to Chicago | Chicago Travel Tips,Frolic & Courage,4910,1465,75,9
62,kTKxf0hoYF0,TRAVEL VLOG: CHICAGO,She_is_fab,9240,5069,231,35
63,PKQYea6w8Nk,"LOGAN SQUARE, CHICAGO - Best Restaurants & Things to Do // North Side Travel Vlog",Luis Gusto,39900,19706,1107,101
64,s7GeyKXcUxg,Chicago Travel - How to Get Around - 5 Ways,LizzyFay,2160,235506,0,215
65,yZMJu5mjlSc,Tips for Safety in Chicago | Is Chicago Safe to Visit for Tourists,Free Tours by Foot - Chicago,1500,7252,226,35
66,H4QkknUcdsc,Chicago Activities | Vacation Travel Video Guide,Erik The Travel Guy,22700,869,6,0
67,NM0rYteX0DU,Family Trip to Chicago | Travel Vlog,Tia Mowry's Quick Fix,961000,619324,14047,1343
68,Jvhpc8C7P6s,mini trip to chicago🚃,Bella,232000,9277,809,14
69,MoafuOc_3WI,Chicago🌃city tour in Hindi | aisa architecture kbhi dekha nhi hoga! | Skyscrapers and downtown| EP6,Travel with Anuj,5210,1435,81,23
70,7bDqvRb6BCA,THINGS TO KNOW BEFORE YOU GO TO CHICAGO,Creative Travel Guide,35400,867,17,2
71,eTtvi3FR7fg,Exploring the City/ Chicago Travel Vlog. How I spend 2 days in Chicago,Irene Atis,3830,7699,184,0
72,teN-Y1wAu78,Amtrak EMPIRE BUILDER Sleeper Train (Seattle to Chicago),Jeb Brooks,548000,306167,10076,976
73,eGdWI8IB6iU,"CHICAGO TRAVEL VLOG | First time in Chicago, mini getaway trip, solo traveling | Black Social Worker",GlowinNaturally,1280,1863,59,17
74,8SaG-SY07uE,Chicago Travel Guide 2021 - Best Places to Visit in Chicago in 2021 - Illinois United States 4k,Global Village,21000,57638,538,15
75,NLCzFYqKrGI,Top 10 chicago tourist attractions || 10 Best places to visit In Chicago || White Family Travel,Hetti White,18700,2344,460,79
76,8VQRUWOhE8g,Travel Scam Leaves Chicago Group Stranded,CBS Chicago,315000,11762,117,0
77,vri2ywt07VQ,Chicago Travel and Adventure Show offers a taste for great escape,WGN News,444000,2602,20,5
78,GcnyGDp3D5Q,VLOG: CHICAGO TRAVEL | bestie trip with Syd,Kiarra Norman,1010,2364,51,19
79,7FwIZP7V0lE,"Plan Your Day Trip to Chicago (Must-Do Attractions, Sightseeing, Restaurants, Travel tips)",Free Tours by Foot - Chicago,1500,5248,256,16
80,Lkpr1rOjY8Q,CHICAGO VLOG | FNF SUMMER GIRLS TRIP+TIKTOK RESTAURANTS+ SHOPPING AT ZARA+MAKING MEMORIES & MORE,Talijah Moet,74500,7514,357,37
81,PIUFbPNh-tE,CHICAGO L TRAIN GUIDE From a Local | 15 Tips on How to Ride the CTA Chicago Travel Guide,Luis Gusto,39900,197643,6289,400
82,9Mi-myT4DXY,Chicago Travel Guide - 12 MUST KNOW Things Before Visiting Chicago (From a Local Chicagoan!),Luis Gusto,39900,29136,935,66
83,yMm4IExhrGI,【Chicago】 Travel Guide - Top 10 Chicago | America Travel | Travel at home,Before Your Trip,6420,1106,11,5
84,nb2jBYcbudU,Chicago to California On Route-66 || My New Travel Plan EP 1,Sunty Dreams,1150000,32887,2823,283
85,SCCligXGhMM,"Chicago - top things to see, do and experience with kids",youneedtovisit,1050,9484,76,8
86,89sjT1gnNqk,Chicago bulls announcers reaction to LeBron James travel 😂😂,BasketballRuns,2080,1301888,0,622
87,PNzWMxIG53E,a spontaneous trip to CHICAGO *with my mom*,Samantha Jo,976000,119194,5696,186
88,TbVV7rhpgbc,Chicago: Solo in Chicago travel vlog,Peace Jones,1000,2344,115,27
89,j9ptMwKAaGI,How to Visit CHICAGO with an RV - Traveling Robert,Traveling Robert,245000,67625,1472,307
90,BnekfXvdtoM,road trip from chicago to san diego!! *27 hours*,leah lorraine,47900,10602,601,120
91,NhiPerfUkvg,OUR VISIT TO CHICAGO & FLIGHT HOME | CHICAGO TRAVEL VLOG 2022,LIFEbyFrancesco,37900,19475,1456,175
92,KTidbDz4xrk,Amtrak BRAND NEW Viewliner II Roomette from New York to Chicago!,Dylan's Travel Reports,120000,485979,8726,854
93,_DIpTZ-Kd6o,Chicago Travel Vlog l First time in Chicago! LONDONHOUSE | THE BEAN |TIMEOUT MARKET | LOU MALNATI’S,Life With Lauren Z,2900,6597,240,60
94,u9wYKpi1fUM,Why I Love Chicago in 50 Seconds 🌃,ViaTravelers,6190,12068,715,86
95,vAbHNQ0wUVY,Chicago Travel Vlog 2021 *first time there*,Lizeth,34100,9444,215,67
96,NOtGZU4kZcA,Experience Tilt 360 in Chicago | Travel Channel,Travel Channel,476000,44393,102,8
97,yDjCYqw8yBs,💻 WORKING MOM TRAVEL VLOG 🍕 CHICAGO!,Jen Chapin,130000,13461,1286,125
98,mbtABJ5FfBc,2 Days on America’s $1000 Overnight Sleeper Train | New York - Chicago,Solo Solo Travel,954000,932387,14334,1322
99,1rueSnwd4Vk,"WEST LOOP, CHICAGO - Best Restaurants & Things to Do // Downtown Travel Vlog",Luis Gusto,39900,31104,1036,93
