,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
49,1BmLLnkNsYQ,Chicago - Food,Discover Illinois,470,3025,20,1
50,UBwuSQyJMzc,Great Eats Around CHICAGO | Chicago Food Tour,Scottman895 Travel,7390,492,24,57
51,1zGC7VjSpHk,Trying chicago restaurants #chicago #chicagofood #chicagofoodreview,Chris__Dolo,46900,4128,0,5
52,1BmLLnkNsYQ,Chicago - Food,Discover Illinois,470,3025,20,1
53,hFEeYS0Hb38,Superdawg Drive in is a classic spot in Chicago ! #chicagofood #chicago #food #foodlover,Chowcago,3660,4122,206,16
54,gBVL282AFBM,"Chicago food review, Naf Naf Grill, Steak Basmati Rice Bowl #shorts #food",Kickn it with aj,293,286,17,1
55,9jh5L_Z6MnI,Vegan Chicago ! KALE MY NAME ! #vegan #chicago #veganfood #plantbased #chicagofood #veganshorts,Amari The Foodie ,291,1471,99,1
56,CNMXYGiNiYI,All For Small: Chicago Food Planet,ActiveCampaign,12700,27637,8,1
57,5gMA1VzqnxE,Paddy The Baddy & Meatball Molly Talk About Their Favorite Chicago Food,Barstool Chicago,63500,4257,63,7
58,BBgQemP6blA,WHAT TO EAT IN CHICAGO // Lincoln Park Food Tour Best Restaurants (Travel Guide 2023),Luis Gusto,39900,48080,1244,104
59,GSvD5iBtKHI,Chicago's Food Equity Council,Chicago Food Policy Action Council,179,105,3,0
60,nkM8kDjMARg,"chicago food tour | first banana split, chef's counter, and the best falafel in the city?",Cat Zhang,920,281,16,3
61,HeGXWBs-nAg,"With SNAP benefits set to decrease, Chicago food pantries are preparing",CBS Chicago,315000,5030,86,0
62,nKBWwPYLA9c,CHICAGO FOOD REVIEWS - The Happy Lobster #Shorts,Luis Gusto Productions,120,242,19,1
63,05pU8E0Baz4,Chicago Food Dep,Oasis of Hope Chicago,51,42,2,0
64,jUmz67ub7xE,FINDING CHICAGO FOOD AROUND THE WORLD 🌍 Elizabeth Aziz @ Lincoln Lodge (2022),elizabeth aziz,197,1405,0,1
65,bMZyLLGhXo4,CHICAGO STYLE NACHOS | REAL CHICAGO FOOD PT.2,Kay's Kafeteria,571,4638,137,28
66,awExdjkrM-0,Smoked meat in Chicago #chicago #chicagofood #chicagofoodreview,Chris__Dolo,46900,316,0,0
67,V0cepP2JN7k,"not your standard Chicago Food Tour! The best of Chinatown, Donuts and Ice Cream!",Laura On The Move,6100,1399,48,4
68,Xdih3Hjhy7w,"chicago food tour [vol. 2] | mac & cheese, boba, fried green tomatoes, matcha lattes, and more",Cat Zhang,920,283,17,4
69,wY9ZJmmJaT0,"Chicago FOOD, Easy St. Pizza and Patio, Review #shorts #chicago",Kickn it with aj,293,116,9,2
70,brh4mfZaFo8,Chicago Nosh| Alla Vita: Everything was perfection👨‍🍳💋👌nosh #food #chicago #chicagofood,Nosh&OhMyGosh,22,886,26,0
71,d-cjd-gmGzs,#ItalianBeef #Portillos #ItalianBeefSandwich #Chicago #Chicagofood,@DrockEats,266,5175,77,2
72,n4cpElXDbSU,Mexican food in Chicago #chicago #chicagofood #chicagofoodreview,Chris__Dolo,46900,1932,0,1
73,6-Q1jz2qBB0,Chicago Food Machinery | Meat Grinder,WebDirectBrandsClips,7030,1139,4,0
74,rukxh_UFZV4,Devon Street Chicago Food Tour -Sabri Nihari!,ROOKIE WITH A COOKIE,43100,37097,440,102
75,u84pJK3Y3rQ,Chicago Food To Go: Polombia,CW26 Chicago,802,560,14,3
76,A8PndHUFL9g,BEST 😍 All You Can Eat in Chicago - Most Essential Chicago Food Experiences!,Red Apple Buffet,139,3352,56,1
77,CRznWsVNIgk,Chicago's Best Food Trucks: Fire & Smoke BBQ,Chicago's Best,366000,49650,1054,38
78,hVC-HZCgszc,No food better than Chicago food 😩,Queen Kema,6580,5147,0,7
79,sTyY5hlA5_I,Barack Obama helps volunteers at Greater Chicago Food Depository,ABC 7 Chicago,408000,2534,51,8
80,ViTVnhLzWus,Microsoft Paths for Nonprofits: A Conversation with Greater Chicago Food Depository and Microsoft,Heller Consulting,88,130,0,1
81,7Bmd5HGT5us,Loaded potatoes in Chicago #chicago #chicagofood #chicagofoodreview,Chris__Dolo,46900,3357,0,5
82,gfQpZH9BHfo,Explore The Chicago Food Stop,World Business Chicago,374,55,3,0
83,uZ5GnYLCOUk,ADELANTE CHICAGO-FOOD HE.RO,WGN News,444000,387,3,4
84,TnZCt2azPnM,"It's my first time trying famous Chicago food and uhhhh... (Portillo's, Schaumburg IL)",PiNKII,144000,9156,412,41
85,RK6gJ-3HJes,Chicago Food Series: What's a Big Baby?,Chicago's Best,366000,5890,64,4
86,gll8WsZITvA,solo travel vlog: Taking Myself on Dates | GRWM Shower Routine + Chicago Food Diaries | Janika Bates,Janika Bates,16500,1741,126,22
87,Pw6DxFuOwB0,Best Chicago Food Spots | Cheap Lunch | North Shore Edition! #YouTubeShorts #Shorts #PitaInn,Latrice Kelly,3000,173,6,1
88,cIe-x_BxsQ8,"Trying Chicago Food  Staples The Chicago Dog, Italian Beef & Maxwell Polish",BigBelly Bob,8570,1666,261,72
89,Q35d1yWzSuw,Trying the BEST DONUTS IN CHICAGO! 🍩🍩🍩 #shorts #foodie #donuts #chicago #chicagofood #donutlover,Kevin E.,33800,12296,782,9
90,q1gbq0BAKas,Chi Cafe - Great Chinese Breakfast spot | CHICAGO Food,Maria and Nabol - Kimchi & Beans,9280,1176,51,156
91,A_IZ_Ow9hX0,"NRN editors discuss Chicago food, labor challenges, changing dayparts and the NRA show",Nation's Restaurant News,1150,70,2,0
92,h5Yq6-J6gt8,Vincent Restaurant in Andersonville | CHICAGO Food,Maria and Nabol - Kimchi & Beans,9280,381,50,151
93,XfShiXOYjqE,"30,000 Meals for Chicago | Greater Chicago Food Depository",Chicago Fire FC,15400,343,16,2
94,_cA-rcyDQxs,Buona Beef is a classic in Chicago #food #foodie #foodlover #chicago,Chowcago,3660,638,19,3
95,wu-ahKCgQ1w,2014 Chicago Food Film Festival TRAILER,FoodFilmFest,473,525,3,0
96,HQoILJfsr4s,Soul Food & Caribbean Beef Patties - Chicago Food Favorites,Maria and Nabol - Kimchi & Beans,9280,928,71,32
97,sJHDv0uSfGE,Chicago Food Trucks Around Art Institute,Klaxet,1410,362,13,0
98,-FHP5yKoqQw,Chicago Food Machinery | Meat Slicer,WebDirectBrandsClips,7030,3984,11,0
99,UhYTyTqpaLk,"PASTA NIGHT! at Gemma Foods in West Town, Chicago #chicago #food #italian",Sleeping is for Suckers,189,2066,50,1
