,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
60,r-cLfesQm50,Eating only the most iconic food from New York for the whole day! #shorts #series #challenge,Tommy Winkler,2670000,1919463,117746,1406
61,lA7-MTnSkeI,FOOD TOUR con Mocho A NEW YORK ep.1 | MochoHf,Mochohf,175000,50197,2701,108
62,lR8ydxAJ_Cg,How New York Bagels Are Made | Food Skills,First We Feast,12200000,501680,8977,722
63,E8WvPHSMJ6c,Conan Delivers Chinese Food in NYC | CONAN on TBS,Team Coco,8620000,17275754,193134,9382
64,rPV276WCtH8,FOOD REVIEWS BETCH #27: “A PASTA BAR” IN NEW YORK,itsQCP,3270000,2317211,262230,572
65,-JO3gBW3utk,$1 Pizza VS $2000 Pizza in New York City!!,More Best Ever Food Review Show,1850000,3578655,61649,4437
66,bN6sxcLsDcc,Why are New Yorkers OBSESSED With This Ukrainian Food?,Here Be Barr,358000,34123,1486,157
67,lhWstFu261U,Brits try New York’s Best Pizza for the first time!!,JOLLY,3140000,1035228,40622,1936
68,O5xjobO_kts,How Chef Eric Sze Is Changing the Game for Taiwanese Food in NYC — Eater New Guard,Eater,3450000,1371935,22860,629
69,GO-_MMsMvdI,Anthony Bourdain’s favorite Places to Eat in NYC,Si & Lauren Willis,1360,87498,4066,43
70,NdfsEQTAEzw,7 CLASSIC NEW YORK FOODS! | Fung Bros,FUNG BROS.,2170000,1628994,16943,1208
71,SkJaKAaRWnc,New York City Food Tour : HUGE Pastrami Sandwich at Katz’s Deli and The Halal Guys!,Mark Wiens,9790000,5155935,54517,4799
72,-GHE2BxbXM8,"Making ""Official"" State Foods | New York",SenyaiGrubs,1540000,4795557,328657,2966
73,KMyjGvOjCcU,"Two Brothers Make New York's Spiciest, Juiciest Birria Tacos | Food Insider",Insider Food,4610000,7756799,115712,4097
74,rQ5yvwJWHP4,NYC Food Guide - 13 Must Hit Places to Eat in New York City,Matt's Travel Tips,175000,1199870,17828,1311
75,zdvF0N2PR2Q,New York Food Tour: What to Eat in Greenwich Village,Free Tours by Foot - New York,13800,13637,306,27
76,HEnQSoeVRB4,CHEAP CHINATOWN FOOD - $5 SNACKS - NEW YORK | Fung Bros,FUNG BROS.,2170000,1108461,13075,850
77,9MNuAo9pm4Y,ULTIMATE FILIPINO FOOD FEAST in LITTLE MANILA New York!,Strictly Dumpling,4190000,1587127,44748,3388
78,wSOYhAE07wI,MOUTHWATERING NYC Chinatown Food Crawl ($100 Budget!),Here Be Barr,358000,89176,3210,150
79,HXFXOs5hohE,WHAT TO EAT IN NEW YORK CHINATOWN 🥟🗽! DIY Food Tour,CupofTJ,587000,148798,4464,362
80,AE4ziILt_N0,THE BEST CHINESE STREET FOOD IN NEW YORK CITY!!!,MissMangoButt,1320000,547608,26110,1002
81,BPip6ySnwT4,This Chopped Cheese Food Truck Reps New York’s Iconic Sandwich | Hungry For More,First We Feast,12200000,835489,19643,1477
82,awm3l4u73F4,NEW YORK FOOD FOREST W/ MICHAEL JUDD,Edible Landscaping with Michael Judd,2950,1769,85,1
83,-PbFi4ARnR0,"BEST NYC Food, Luxury Shopping, + Exploring New York City!",MEGAN,605000,19318,1117,132
84,TmrM2Zm7c8g,5 Iconic Dessert Shops in New York City | Food Network Finds | Food Network,Food Network,2280000,32127,536,17
85,Kplx67VHWms,"Tons of food tossed daily at migrant hotel in Midtown, workers say",Eyewitness News ABC7NY,796000,40713,840,843
86,trs6ECBQ0kI,What It's Like Working On A New York City Food Truck,CNBC Make It,1190000,2936817,34591,1415
87,hTifqa3E_Bw,"The ULTIMATE Buffalo, New York FOOD tour! (WINGS, Beef on Weck, Peanut Sticks, Pizza, & MORE!)",Adventures of A+K,147000,74712,2644,739
88,-AWHNuSlq2A,The Best Pancakes In NYC | Best In Town,Insider Food,4610000,2766385,42715,1937
89,l3mOmUQ4txM,Best NYC FOOD TRUCKS & FOOD CARTS 🌯! New York Street Food Pt. 2 🍕,CupofTJ,587000,113405,3646,151
90,-hWwykfH-Bc,NYC FOOD GUIDE Best Local Places to Eat Breakfast Lunch and Dinner,Jennifer O'Brien,29000,146272,3767,174
91,KhXTjFUWdY4,The New York restaurant introducing Nigerian cuisine to the US - BBC News,BBC News,14100000,140639,2716,445
92,bKftXo-hefw,Which NYC Bagel is Best? The Bagel Battle ! (New York Food Guide),Here Be Barr,358000,81135,1425,248
93,81tIX2wlAsc,"Migrants Say NYC Provided Raw, Rotten Foods – And Mayor Says It's a Matter of Taste | NBC New York",NBC New York,528000,95017,1191,3116
94,zyqX4bsO34s,"BEST FOOD in BUFFALO, NY!  Top 5 most iconic food only found in Buffalo, New York",Doodle the Travel Bug,1590,36074,581,167
95,H2_vnsmv3HU,Five Tasty Stories About New York City,Great Big Story,6160000,1617632,22105,788
96,PAokWra_eI8,The Bodega Food Truck Slinging Chopped Cheese in NYC,Munchies,4980000,742350,14509,722
97,ptnLVeMulO4,"The Best Food in New York City (BEST pizza, bagels, sandwiches, pasta, deserts)",Kim Ebrahimi,31200,11486,4637,7
98,XzvodixzpgE,The Best Pastrami Sandwich In NYC | Best Of The Best | Food Insider,Insider Food,4610000,4962488,47077,3514
99,bW-MqwNXN4s,Why are New Yorkers OBSESSED With These Chinatown Eateries?,Here Be Barr,358000,74870,1891,181
